地區,國家名稱,館處中文名稱,館處外文名稱,駐外館處休假日編號(系統用),網址,館址(外文),信箱號碼,電話,緊急聯絡電話(中文),緊急聯絡電話(英文),傳真,主管(中文),主管(英文),職稱,EMAIL,上班時間,時差,轄區(中文),領務服務時間,所屬單位,消息來源
亞太地區,印度共和國,駐清奈辦事處,Taipei Economic and Cultural Center in Chennai,0,,"New No. 30, Norton Road, Mandaveli, Chennai-600028, Tamil Nadu, India",maa@mofa.gov.tw,(002-91) 44-4302-4311,002-91-99621-49906 ※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"002-91-99621-49906 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line.",(002-91) 44-4303-3511,林明誠,Frank M.C. Lin,處長,maa@mofa.gov.tw,週一至週五，九時至十七時三十分,-1:30,,服務時間 9:00~17:00,人事處,人事處
亞太地區,日本,駐日本代表處 (台北駐日經濟文化代表處),Taipei Economic and Cultural Representative Office in Japan,304020000B,http://www.taiwanembassy.org/JP,"No.20-2 Shirokanedai, 5-chome, Minato-ku, Tokyo 108-0071, Japan (東京都港區白金台5-20-2)",,(002-81) 3-3280-7811,080-6557-8796、080-6552-4764 ※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"080-6557-8796、080-6552-4764 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line.",(002-81) 3-3280-7934,沈斯淳,"Shen,Ssu-tsun",代表,vipass@roc-taiwan.org,週一至週五09:00-17:30,,領務轄區請參閱本部領務局網站(http://www.boca.gov.tw),,人事處,人事處
亞太地區,澳大利亞,駐澳大利亞代表處 (駐澳大利亞台北經濟文化辦事處),Taipei Economic and Cultural Office in Australia,304190000B,http://www.taiwanembassy.org/AU,"(1) Unit 8, Tourism House 40 Blackall Street Barton, Canberra ACT 2600, Australia (2) 53 Blackall Street, Barton ACT 2600(文化組, 新聞組, 科技組)",,"(1) (002-61) 2-6120-2000 (2) 2-6120-1000 (文化組, 新聞組, 科技組)",(002-61) 418-284-531 ※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"(002-61) 418-284-531 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line.",(002-61) 2-6273-3228,張小月,"Chang,Katharine Siao-Yue",代表,teco@teco.org.au,週一至週五09:00-17:00,較台灣時間快2小時（10-3月快3小時）（4月5日凌晨3時結束實施夏令日光節約）,領務轄區請參閱本部領務局網站(http://www.boca.gov.tw),週一至週五09:00-17:00,人事處,人事處
亞太地區,汶萊和平之國,駐汶萊代表處(駐汶萊臺北經濟文化辦事處),Taipei Economic and Cultural Office in Brunei Darussalam,304160000B,http://www.taiwanembassy.org/BN,"NO 18, Simpang 80-11, Kampong Penkalan Gadong, Km4, Jalan Gadong,Bandar Seri Begawan, BE3919, Brunei Darussalam","2172, Bandar Seri Begawan, BS8674, Brunei Darussalam",(002-673) 245-5482、245-5483、245-5485、245-5486,(002-673) 895-6338 ※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"(002-673) 895-6338 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line.",(002-673) 245-5490,黃清雄,Albert Huang,代表,twnrocbr@brunet.bn,8:00-17:00,無,務轄區請參閱本部領務局網站(http://www.boca.gov.tw),8:00-17:00,人事處,人事處
亞西地區,巴林王國,駐巴林代表處 (台灣駐巴林商務代表團),Trade Mission of Taiwan in the Kingdom of Bahrain,304210000B,,"Flat 1&2, Abulfatih Building, No. 172, Road 1906,Block 319,Al-Hoora Area Manama, Kingdom of Bahrain","P. O. Box 5806, Manama , Kingdom of Bahrain",(002-973) 17292578,(002-973) 39655139 　※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"(002-973) 39655139 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line.",(002-973) 17293852,徐雲鳳,Paul Y.F. Hsu,代表,tmorocb1@batelco.com.bh,週日至週四08:00-16:00,較台灣時間慢5小時,領務轄區請參閱本部領務局網站(http://www.boca.gov.tw),週日至週四08:00-14:00 (週五及週六例假日不受理),人事處,人事處
亞太地區,澳大利亞,駐墨爾本辦事處 (駐墨爾本台北經濟文化辦事處),"Taipei Economic and Cultural Office, Melbourne, Australia",304080000B,http://www.roc-taiwan.org/AU/MEL,"Level 46, 80 Collins St, Melbourne, Vic 3000, Australia",,(002-61) 3-9650-8611,(002-61) 413-880-934 ※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"(002-61) 413-880-934 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line.",(002-61) 3-9650-8711,翁瑛敏,"Wong, Ying-ming",處長,tecomel@gmail.com,09:00-17:00,較台灣時間快2小時（自10月底至翌年3月止日光節約時間快3小時）,領務轄區請參閱本部領務局網站(http://www.boca.gov.tw),09:00-15:30,人事處,人事處
亞太地區,澳大利亞,駐雪梨辦事處 (駐雪梨台北經濟文化辦事處),"Taipei Economic and Cultural Office, Sydney, Australia",304200000B,http://www.taiwanembassy.org/AU/SYD,"Suite 1902, Level 19 MLC Centre, King St. Sydney, NSW2000, Australia",,(002-61) 2-9223-3233,(002-61) 418-415-572 ※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"(002-61) 418-415-572 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line.",(002-61) 2-9223-0086,周進發,"Chow, Chin-fa",處長,tecosydney@gmail.com,週一至週五 (駐地) 09:00-17:00,較台灣時間快2小時，自10月至3月止日光節約時間較台灣快3小時,領務轄區請參閱本部領務局網站(http://www.boca.gov.tw),,人事處,人事處
亞太地區,澳大利亞,駐布里斯本辦事處(駐布里斯本台北經濟文化辦事處),"Taipei Economic and Cultural Office, Brisbane, Australia",391580000B,http://www.taiwanembassy.org/AU/BNE,"Level 34, Riparian Plaza, 71 Eagle Street, Brisbane, Queensland 4000, Australia",,(002-61) 7-3229-5168,(002-61) 437-921-436 ※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"(002-61) 437-921-436 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line.",(002-61) 7-3229-8881,宋文城,"Sung, Wen-cheng",處長,tecobne@gmail.com,週一至週五09:00-17:00,較台灣時間快2小時,領務轄區請參閱本部領務局網站(http://www.boca.gov.tw),週一至週五09:00-17:00,人事處,人事處
亞太地區,印度共和國,駐印度代表處 (駐印度台北經濟文化中心),Taipei Economic and Cultural Center in India,303940000B,http://www.taiwanembassy.org/IN,"N-88, Panchsheel Park, New Delhi-110017, India",,(002-91) 11-4607-7777,(002-91) 981-050-2610 ※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"(002-91) 981-050-2610 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line.",(002-91) 11-4107-2246,田中光,"Tien, Chung-kwang",代表,ind@mofa.gov.tw,週一至週五09:00-17:30,較台灣時間慢2小時30分,領務轄區請參閱本部領務局網站(http://www.boca.gov.tw),週一至週五09:00-12:30,人事處,人事處
亞太地區,印度尼西亞共和國,駐印尼代表處(駐印尼台北經濟貿易代表處),"Taipei Economic and Trade Office, Jakarta, Indonesia",304100000B,http://www.roc-taiwan.org/ID,"17th Floor, Gedung Artha Graha, Jl. Jend. Sudirman Kav. 52-53, Jakarta, 12190, Indonesia","P. O. Box 2922 Jakarta Pusat ,Indonesia",(002-62) 21515-3939,(002-62) 811-984676 ※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"(002-62) 811-984676 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line.",(002-62) 21515-2977,夏立言,Andrew L.Y. Hsia,代表,idn@teto.or.id,辦公時間為週一至週五 08:00-12:00，13:00-17:00。,較台北時間慢一小時,領務轄區請參閱本部領務局網站(http://www.boca.gov.tw),週一至週五上午八時三十分至十一時三十分，下午一時三十分至四時。週六，週日及國定假日不辦公,人事處,人事處
